SKU,Product Name,Brand,Category,Subcategory,Description,Key Features,Price (GHS),Price (USD),Condition,Stock Status,Image Path,Date Added
ACC-CAB-0001,1.5m HDMI-AUDIO Cable,Generic,Accessories,Cables,The 1.5m HDMI-AUDIO Cable from 1.5m offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/1.5m HDMI-AUDIO Cable.png,2025-09-04
PHO-LIG-0002,10 Ring Fill Light,Generic,Photography,Lighting,Capture life's moments with the 10 Ring Fill Light. Professional photography equipment for stunning results.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,500,40.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/10 Ring Fill Light.png,2025-09-04
PHO-LIG-0003,12 Ring Fill Light,Generic,Photography,Lighting,Capture life's moments with the 12 Ring Fill Light. Professional photography equipment for stunning results.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,500,40.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/12 Ring Fill Light.png,2025-09-04
AUD-WIR-0004,2.4GHz Wireless,Generic,Audio/Video,Wireless Audio,Immerse yourself in superior sound quality with the 2.4GHz Wireless. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,845,67.6,New,In Stock,/home/hostname/Program/Shopdydy.com/product/2.4GHz Wireless.png,2025-09-04
AUD-MIC-0005,3.5 Aux Lavalier Microphone,Generic,Audio/Video,Microphones,Immerse yourself in superior sound quality with the 3.5 Aux Lavalier Microphone. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,375,30.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/3.5 Aux Lavalier Microphone.png,2025-09-04
ACC-CAB-0006,3M HDMI CABLE FIBRE,3M,Accessories,Cables,The 3M HDMI CABLE FIBRE from 3M offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/3M HDMI CABLE FIBRE.png,2025-09-04
ELE-OTH-0007,4u 600x450 Cabinet,Generic,Electronics,Other,The 4u 600x450 Cabinet from 4u offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,500,40.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/4u 600x450 Cabinet.png,2025-09-04
STO-USB-0008,6USB Socket 1M,Generic,Storage,USB Drives,Secure and expand your digital storage with the 6USB Socket 1M. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/6USB Socket 1M.png,2025-09-04
MOB-AUD-0009,AirPods Pro 3rd Gen A2565,Apple,Mobile,Audio Accessories,Experience cutting-edge mobile technology with the AirPods Pro 3rd Gen A2565. Featuring advanced capabilities and sleek design for the modern user.,• Advanced camera system • Long-lasting battery • Fast charging capability • Durable construction • Latest operating system,1495,119.6,New,In Stock,/home/hostname/Program/Shopdydy.com/product/AirPods Pro 3rd Gen A2565.png,2025-09-04
MOB-AUD-0010,AirPods Pro A2083,Apple,Mobile,Audio Accessories,Experience cutting-edge mobile technology with the AirPods Pro A2083. Featuring advanced capabilities and sleek design for the modern user.,• Advanced camera system • Long-lasting battery • Fast charging capability • Durable construction • Latest operating system,1495,119.6,New,In Stock,/home/hostname/Program/Shopdydy.com/product/AirPods Pro A2083.png,2025-09-04
DIS-TEL-0011,Akai LED TV 32”,Akai,Displays,Televisions,"""Enhance your visual experience with the Akai LED TV 32”. Featuring crisp, clear display technology for work and entertainment.""",• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,5000,400.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Akai LED TV 32”.png,2025-09-04
STO-USB-0012,Android USB cable,Generic,Storage,USB Drives,Secure and expand your digital storage with the Android USB cable. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Android USB cable.png,2025-09-04
ELE-OTH-0013,Apple 21.5,Apple,Electronics,Other,The Apple 21.5 from Apple offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,500,40.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Apple 21.5.png,2025-09-04
COM-LAP-0014,ASPIRE XC 830 UW91,Acer,Computing,Laptops,The ASPIRE XC 830 UW91 delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,11500,920.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/ASPIRE XC 830 UW91.png,2025-09-04
ELE-OTH-0015,Backdrop Cloth Brown,Generic,Electronics,Other,The Backdrop Cloth Brown from Backdrop offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,500,40.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Backdrop Cloth Brown.png,2025-09-04
ELE-OTH-0016,Boya By-M1DM Mic,Boya,Electronics,Other,The Boya By-M1DM Mic from Boya offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,500,40.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Boya By-M1DM Mic.png,2025-09-04
AUD-MIC-0017,Boya By-MM1 Microphone,Boya,Audio/Video,Microphones,Immerse yourself in superior sound quality with the Boya By-MM1 Microphone. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,375,30.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Boya By-MM1 Microphone.png,2025-09-04
DIS-TEL-0018,Bruhm Digital Satellite 32” TV,Bruhm,Displays,Televisions,"""Enhance your visual experience with the Bruhm Digital Satellite 32” TV. Featuring crisp, clear display technology for work and entertainment.""",• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,4000,320.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Bruhm Digital Satellite 32” TV.png,2025-09-04
AUD-WIR-0019,BT 5.0-USB BT 5.0 USB Dongle Wireless,Generic,Audio/Video,Wireless Audio,Immerse yourself in superior sound quality with the BT 5.0-USB BT 5.0 USB Dongle Wireless. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,845,67.6,New,In Stock,/home/hostname/Program/Shopdydy.com/product/BT 5.0-USB BT 5.0 USB Dongle Wireless.png,2025-09-04
PHO-WEB-0020,C270 HD Logitech Webcam,Logitech,Photography,Web Cameras,Capture life's moments with the C270 HD Logitech Webcam. Professional photography equipment for stunning results.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,550,44.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/C270 HD Logitech Webcam.png,2025-09-04
OFF-PRI-0021,Canon PIXMA 445 Black 446 Color,Canon,Office,Printers,Boost your productivity with the Canon PIXMA 445 Black 446 Color. Professional-grade equipment designed for efficient office operations.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,2000,160.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Canon PIXMA 445 Black 446 Color.png,2025-09-04
OFF-PRI-0022,Canon Selphy CP1000,Canon,Office,Printers,Boost your productivity with the Canon Selphy CP1000. Professional-grade equipment designed for efficient office operations.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,2000,160.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Canon Selphy CP1000.png,2025-09-04
PHO-TRI-0023,Coopic Tripod,Coopic,Photography,Tripods,Capture life's moments with the Coopic Tripod. Professional photography equipment for stunning results.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,500,40.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Coopic Tripod.png,2025-09-04
NET-ROU-0024,D-Link 4G LTE Router DWR-M960,D-Link,Networking,Routers,"""Stay connected with the D-Link 4G LTE Router DWR-M960. Featuring fast, reliable networking capabilities for seamless internet connectivity.""",• High-speed connectivity • Easy setup and configuration • Reliable performance • Security features • Multiple device support,1400,112.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/D-Link 4G LTE Router DWR-M960.png,2025-09-04
